Filename, Records (Actual), Labeled Size, DataType, ParameterSet, Pivot Type, KStop, InsertionSort, Time(nS), Time(uS), Time(mS), Final Check Result, User Generated Data, GaussianSequential, Presorted sample [1:30], Sorted sample [1:30], Path, Full Path
asc1K.dat, 1000, 1000, ASCENDING, QS_MID_K_1_NO_IS_ALT, MEDIAN_OF_THREE_WITH_SWAPS, 1, No, 78400, 78, 0.08, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc1K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc1K.dat
asc1K.dat, 1000, 1000, ASCENDING, QS_MID_WSWAP_K_1_NO_IS, MEDIAN_OF_THREE_ALT, 1, No, 74700, 74, 0.07, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc1K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc1K.dat
asc2K.dat, 2000, 2000, ASCENDING, QS_1ST_K_1_NO_IS, FIRST_ELEMENT, 1, No, 1376400, 1376, 1.38, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc2K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc2K.dat
asc2K.dat, 2000, 2000, ASCENDING, QS_1ST_K_100_IS, FIRST_ELEMENT, 100, Yes, 1827700, 1827, 1.83, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc2K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc2K.dat
asc2K.dat, 2000, 2000, ASCENDING, QS_1ST_K_50_IS, FIRST_ELEMENT, 50, Yes, 1804300, 1804, 1.8, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc2K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc2K.dat
asc2K.dat, 2000, 2000, ASCENDING, QS_MID_K_1_NO_IS, MEDIAN_OF_THREE, 1, No, 145200, 145, 0.14, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc2K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc2K.dat
asc2K.dat, 2000, 2000, ASCENDING, QS_MID_K_1_NO_IS_ALT, MEDIAN_OF_THREE_WITH_SWAPS, 1, No, 260000, 260, 0.26, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc2K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc2K.dat
asc2K.dat, 2000, 2000, ASCENDING, QS_MID_WSWAP_K_1_NO_IS, MEDIAN_OF_THREE_ALT, 1, No, 87800, 87, 0.09, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc2K.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc2K.dat
asc50.dat, 50, 50, ASCENDING, QS_1ST_K_1_NO_IS, FIRST_ELEMENT, 1, No, 34400, 34, 0.03, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc50.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc50.dat
asc50.dat, 50, 50, ASCENDING, QS_1ST_K_100_IS, FIRST_ELEMENT, 100, Yes, 58800, 58, 0.06, true, false, false,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31,  (0)1 2 3 4 5 (5)6 7 8 9 10 (10)11 12 13 14 15 (15)16 17 18 19 20 (20)21 22 23 24 25 (25)26 27 28 29 30 (30)31, res\input\asc50.dat, O:\OneDrive\Code\IntelliJ\Timmons\res\input\asc50.dat
